f1,w,rf,wt,mass,m95,r95,compacity,Qt,Q
0.22,1.2942839,30,0.837620927016092,0.630572517541058,0.598870036070591,5.47999,0.109282853297553,5.28613108533684,0.324996498764953
0.23,1.31358577,30,0.83255292166682,0.628002330605917,0.59637000047107,5.29999,0.112522641598315,5.1533270053076,0.323514800376197
0.24,1.3335899,26,0.827660182099965,0.625347247573262,0.593933095871407,5.14999,0.115326814732312,5.0210792194181,0.321904419881466
0.25,1.35432755,32,0.822958568911588,0.622166536796716,0.590765982937711,4.99999,0.118153196587542,4.886632251562,0.319974210740396
0.26,1.37583197,30,0.81843791027471,0.618770442464148,0.587537807297082,4.86999,0.120644313613364,4.7523158593363,0.317865783377776
0.27,1.398138,30,0.81412083274913,0.614453538305234,0.583706634273429,4.73999,0.123144859551356,4.6139474590364,0.315278002341192
0.28,1.42128246,31,0.809978265517896,0.610261387925377,0.579632773076179,4.61999,0.125461639193978,4.4783341637702,0.312667572519858
0.29,1.4453042,28,0.806025288184316,0.605668988933725,0.575369096187447,4.50999,0.127576296272161,4.34240732543453,0.309813414461929
0.3,1.47024417,30,0.802270713507166,0.600479282114289,0.570330048144437,4.38999,0.129915728506705,4.20527010657901,0.306635438876487
0.31,1.49614566,30,0.798684981141551,0.595717892195222,0.565823164619937,4.29999,0.131586782469753,4.07294918969124,0.303574812180826
0.32,1.52305435,30,0.795308981552151,0.589991948676114,0.560295242603882,4.18999,0.133722014941261,3.93776016039202,0.300046277833209
0.34,1.58008901,30,0.789083354737199,0.579507500025674,0.550457395401062,4.03999,0.136251830544817,3.68037221234025,0.293228622242868
0.36,1.64176768,30,0.783654667684099,0.567210231452314,0.538820294672068,3.86999,0.13923005030286,3.4244980499356,0.285459197587746
0.38,1.70855882,28,0.779004480958011,0.554144280857009,0.526209133756806,3.69999,0.142218684799137,3.17660670675628,0.277211968109758
0.4,1.780985708,32,0.775115575000982,0.541491177866019,0.514396866834959,3.57999,0.143686275652223,2.94240793502989,0.269001150643813
0.42,1.85963295,27,0.772028586744295,0.52799058901608,0.501288175703707,3.43999,0.145723306890612,2.71643001236075,0.260345895293393
0.44,1.945153526,32,0.769733113485911,0.514740187611199,0.488917937960678,3.33999,0.146382616155892,2.50347601044471,0.251718318518518
0.46,2.03827637,30,0.768220081241151,0.502287712225128,0.477026020407867,3.26999,0.145879516944302,2.30537631387391,0.243372847399232
0.48,2.13981422,30,0.767587192729084,0.487444605952134,0.463014798546863,3.13999,0.147456942212377,2.11008860947367,0.234049704372057
0.5,2.2506717,25,0.767730204288899,0.474295065839199,0.450294304292417,3.05999,0.147155001402751,1.93261965999283,0.225427889790224
0.52,2.3718531,25,0.768672396733973,0.461985106984329,0.438863587465823,3.02999,0.144839467810503,1.76907304296407,0.217192610825104
0.54,2.50447,20,0.770497303318979,0.44782514279709,0.425406183278137,2.92999,0.145189823644416,1.61041060909594,0.208276326583999
0.56,2.6497473,26,0.773076813181268,0.435472186978277,0.413657280974312,2.88999,0.143134007257547,1.46796665044083,0.200195595282017
0.58,2.8090273,26,0.776410735762967,0.424261028390118,0.403019238271441,2.88999,0.139453023623336,1.3387095084429,0.19270846484204
0.6,2.9837723,26,0.780533450262416,0.411965973084028,0.391306799458144,2.83999,0.137784084316248,1.21585441070395,0.184930298026973
0.65,3.5,10,0.794003624764392,0.384488928286752,0.365085400996736,2.78999,0.130854982436106,0.954423407060679,0.167391921863597
0.7,4.14854,23,0.809533759312961,0.36379578059002,0.345565936800778,2.86999,0.120406249756369,0.757971941936425,0.154547142354772
0.75,4.96356,20,0.826027927438448,0.348189407119332,0.330683229902861,2.94999,0.112096010136563,0.607105012598519,0.145148594614346
0.8,5.9778,16,0.840329452615034,0.341311200241265,0.324218940661439,3.13999,0.103254439701095,0.498246827090696,0.141020940561688
0.85,7.23,13,0.850429276492783,0.341830982029601,0.324651929816465,3.32999,0.0974930720169565,0.417750213636199,0.141305622943015
0.87,7.8066,19,0.852874275881966,0.344567128672068,0.327272102905701,3.43999,0.0951372392167737,0,0.14288531422507
0.9,8.76393,25,0.855258895338159,0.348931083573898,0.331432090818843,3.52999,0.0938901107135532,0,0.145453785985998
0.92,9.46823,25,0.855939813857738,0.352929896672138,0.335137403156817,3.59999,0.0930937230991158,0,0.147737128898173
0.94,10.22937,24,0.856060343970161,0.356181595593172,0.338287663072133,3.60999,0.0937084939257987,0,0.149716274343761
0.96,11.0506,23,0.855656833728791,0.360471710291249,0.342293273559561,3.65999,0.093522752338678,0,0.15216576924303
0.98,11.934869,25,0.854883277203159,0.364599067532361,0.346344948201784,3.70999,0.0933544334775697,0,0.154520945495468
1,12.88459,25,0.853864643494688,0.367576564482867,0.349177297241145,3.689999,0.0946279938322887,0,0.156332046054253
1.05,15.554806,31,0.850667109933957,0.374802722155909,0.356018011661776,3.689999,0.096481845978801,0,0.160541998662418
1.1,18.6446286,35,0.84744286813429,0.378934364051198,0.359950189688596,3.639999,0.0988874147496144,0,0.163018102898438
