f1,w,rf,wt,mass,m95,r95,compacity,Q
3.11,3.90259,20,0.869959387291981,0.528780211639244,0.502156925294151,4.35999,0.115173606718842,
3.13,3.9185,19,0.87024681268272,0.529675617695658,0.50306817470058,4.43999,0.113303642950581,
3.15,3.93442,20,0.870720317472085,0.528578624117438,0.502004921236702,4.42999,0.113319395313025,
3.17,3.9503,22,0.871138550410964,0.527173160831571,0.500610251123007,4.39999,0.113775057073411,
3.19,3.96617,22,0.871463799008894,0.527997534802165,0.501468452643649,4.47999,0.1119349224651,
3.3,4.05316,20,0.873648495960489,0.52224881376337,0.495964172927283,4.40999,0.112463531276028,
3.32,4.06892,20,0.874032495744383,0.521084948324372,0.494847704032526,4.38999,0.112721572672557,
3.34,4.08467,20,0.874402689060831,0.520465543442569,0.49435877769604,4.39999,0.112354267658191,
3.36,4.1004,20,0.874748283111067,0.520029663445075,0.493892547436878,4.40999,0.111993774928997,
3.38,4.11612,21,0.875124477250313,0.519244999109894,0.493207527739026,4.40999,0.111838441664178,
3.4,4.13182,20,0.875459719268307,0.518955501945354,0.49296503292191,4.42999,0.111278788469957,
3.42,4.14751,21,0.875836287517142,0.518095010418995,0.492089171105445,4.41999,0.111332391652816,
3.44,4.16318,22,0.8761109854185,0.519082734726176,0.493070281912095,4.49999,0.109571173758243,
3.46,4.17884,22,0.876536406289309,0.517009409291721,0.491005511960318,4.42999,0.110836458681787,
3.48,4.19448,20,0.876863231629211,0.516692677285927,0.490794397537265,4.44999,0.110290875851071,
3.5,4.21011,22,0.877219573946947,0.516047661112666,0.490164172955183,4.44999,0.110149252349479,
